measurement_time,measurement_name,value
2019-09-01 16:12:00,Temp_2,30.3
2019-09-01 16:24:00,Temp_1,29.97
2019-09-01 16:24:00,Temp_2,30.495
2019-09-01 16:42:00,Temp_1,30.045
2019-09-01 16:42:00,Temp_2,30.495
2019-09-01 16:54:00,Temp_1,30.0
2019-09-01 16:54:00,Temp_2,30.375
2019-09-01 17:12:00,Temp_1,30.0
2019-09-01 17:12:00,Temp_2,30.3
2019-09-01 17:24:00,Temp_1,30.0
2019-09-01 17:24:00,Temp_2,30.405
2019-09-01 17:42:00,Temp_1,30.0
2019-09-01 17:42:00,Temp_2,30.3
2019-09-01 17:54:00,Temp_1,30.0
2019-09-01 17:54:00,Temp_2,30.3
2019-09-01 18:12:00,Temp_1,30.0
2019-09-01 18:12:00,Temp_2,30.195
2019-09-01 18:24:00,Temp_1,30.0
2019-09-01 18:24:00,Temp_2,30.3
2019-09-01 18:42:00,Temp_1,30.0
2019-09-01 18:42:00,Temp_2,30.195
2019-09-01 18:54:00,Temp_2,30.27
2019-09-01 18:54:00,Temp_1,30.0
2019-09-01 19:12:00,Temp_2,30.495
2019-09-01 19:12:00,Temp_1,30.105
2019-09-01 19:24:00,Temp_1,30.105
2019-09-01 19:24:00,Temp_2,30.3
2019-09-01 19:42:00,Temp_1,30.0
2019-09-01 19:42:00,Temp_2,30.27
2019-09-01 19:54:00,Temp_1,30.0
2019-09-01 19:54:00,Temp_2,30.105
2019-09-01 20:12:00,Temp_1,30.0
2019-09-01 20:12:00,Temp_2,30.195
2019-09-01 20:24:00,Temp_1,29.97
2019-09-01 20:24:00,Temp_2,30.12
2019-09-01 20:42:00,Temp_2,30.075
2019-09-01 20:42:00,Temp_1,30.0
2019-09-01 20:54:00,Temp_2,30.195
2019-09-01 20:54:00,Temp_1,30.075
2019-09-01 21:12:00,Temp_1,30.0
2019-09-01 21:12:00,Temp_2,30.495
2019-09-01 21:24:00,Temp_1,30.0
2019-09-01 21:24:00,Temp_2,30.195
2019-09-01 21:42:00,Temp_1,30.045
2019-09-01 21:42:00,Temp_2,30.0
2019-09-01 21:54:00,Temp_2,30.105
2019-09-01 21:54:00,Temp_1,30.0
2019-09-01 22:12:00,Temp_2,30.0
2019-09-01 22:12:00,Temp_1,30.0
2019-09-01 22:24:00,Temp_2,30.0
2019-09-01 22:24:00,Temp_1,30.0
2019-09-01 22:42:00,Temp_1,30.0
2019-09-01 22:42:00,Temp_2,30.0
2019-09-01 22:54:00,Temp_1,29.925
2019-09-01 22:54:00,Temp_2,30.3
2019-09-01 23:12:00,Temp_1,30.03
2019-09-01 23:12:00,Temp_2,30.3
2019-09-02 21:42:00,Temp_2,29.295
2019-09-02 21:42:00,Temp_1,30.0
2019-09-02 21:54:00,Temp_1,30.0
2019-09-02 21:54:00,Temp_2,29.295
2019-09-02 22:12:00,Temp_2,29.475
2019-09-02 22:12:00,Temp_1,30.0
2019-09-02 22:24:00,Temp_2,29.295
2019-09-02 22:24:00,Temp_1,30.0
2019-09-02 22:42:00,Temp_1,30.0
2019-09-02 22:42:00,Temp_2,29.295
2019-09-02 22:54:00,Temp_1,29.925
2019-09-02 22:54:00,Temp_2,29.4
2019-09-02 23:12:00,Temp_1,29.955
2019-09-02 23:12:00,Temp_2,29.4
2019-09-02 23:24:00,Temp_2,29.4
2019-09-02 23:24:00,Temp_1,29.925
2019-09-02 23:42:00,Temp_1,30.0
2019-09-02 23:42:00,Temp_2,29.505
2019-09-02 23:54:00,Temp_2,29.4
2019-09-02 23:54:00,Temp_1,30.0
2019-09-03 00:12:00,Temp_2,29.295
2019-09-03 00:12:00,Temp_1,30.0
2019-09-03 00:24:00,Temp_2,29.295
2019-09-03 00:24:00,Temp_1,30.0
2019-09-03 00:42:00,Temp_2,30.105
2019-09-03 00:42:00,Temp_1,30.105
2019-09-03 00:54:00,Temp_1,30.0
2019-09-03 00:54:00,Temp_2,29.595
2019-09-03 01:12:00,Temp_1,30.0
2019-09-03 01:12:00,Temp_2,29.55
2019-09-03 01:24:00,Temp_2,29.505
2019-09-03 01:24:00,Temp_1,30.0
2019-09-03 01:42:00,Temp_1,30.0
2019-09-03 01:42:00,Temp_2,29.445
2019-09-03 01:54:00,Temp_2,29.505
2019-09-03 01:54:00,Temp_1,30.0
2019-09-03 02:12:00,Temp_2,29.595
2019-09-03 02:12:00,Temp_1,30.0
2019-09-03 02:24:00,Temp_1,30.0
2019-09-03 02:24:00,Temp_2,29.475
2019-09-03 02:42:00,Temp_1,30.0
2019-09-03 02:42:00,Temp_2,29.505
2019-09-03 02:54:00,Temp_2,29.505
2019-09-03 02:54:00,Temp_1,30.0
2019-09-03 03:12:00,Temp_1,30.03
2019-09-03 03:12:00,Temp_2,29.505
